lat,lon,uid,name
4.672709,-74.149101,409480,PUR IED PabloN Ext 49dc96
4.71192,-74.135323,373051,Abago Bogent villateresita ce0ba0
4.628,-74.181702,410938,PUR IED Brasilia Ext fe6593
4.62529,-74.06724,6234,"MinAmbiente, Bogota, Colombia"
4.5899,-74.110397,410197,PUR IED FranciscoPS Ext 7bfa9a
4.6199,-74.124001,372976,Abago BogGalan PA 18bac8
4.5076,-74.107498,409159,PUR IED FeGarciaLo Ext dc68ee
4.6444688882157195,-74.0841790076842,403603,UNAL3
4.5711,-74.0942,413239,PUR IED 20deJulio Ext ab60bd
4.74643,-74.110802,409861,PUR IED Tibabuyes Exter f2683d
4.6782472,-74.1438166,6232,"Fontibon, Bogota, Colombia"
4.487,-74.102798,415819,PUR IED CVillavicen Ext 26eb58
4.587312,-74.077911,372934,Santa Fe Plaza Las Cruces 67f050
4.6898,-74.087196,409033,PUR IED RGuatemala Ext 1b89a3
4.6123,-74.194,411046,PUR IED PorfirioBarba Ext 301466
4.6845,-74.088501,412687,PUR IED NacionesU Ext f661a9
4.5814,-74.215797,420997,SAM SecAmbiente f2ddc4
4.6311,-74.206299,410437,PUR IED AlfonsoLopez Ext 281d77
4.5753,-74.106201,411607,PUR IED GustavoR Ext 7a0c90
4.63,-74.112801,408475,PUR IED SilveriaR ext 2b651d
4.6405,-74.142097,409897,PUR IED Castilla Ext cf35f
4.623,-74.148201,413335,PUR IED Amistad Ext 8cd55e
4.6883,-74.1483,409759,PUR IED Atahualpa Ext fc1748
4.7134,-74.120201,408838,PUR IED Charry Ext f1d5cd
4.741,-74.092796,409171,PUR IED JLozano Exter 432910
4.5733,-74.220901,421039,SAM IE SoachaPVMejor 4ef8cc
4.6906,-74.08256,6231,"Las Ferias, Bogota, Colombia"
4.503,-74.107201,409183,PUR IED Ochoa Ext 1c29da
4.6235,-74.122299,416182,ARTT LAB ptw 7c8d67
4.6356,-74.205101,415798,PUR IED CarlosPizarro Ext e307cc
4.5792,-74.204201,419041,SAM IE SanMateo 7576c8
4.6138,-74.182701,410776,PUR IED ColegioBici Ext 25cbf6
4.730818,-74.096603,409765,PUR IED AlvaroGomez Ext 47c7ca
4.5979,-74.207802,419032,SAM IE Ricaurte 16e48f
4.6034,-74.199997,411202,PUR IED LlanoOriental Ext fb3766
4.573487,-74.185577,417976,SAM IE ElProgreso 1c4cc9
4.6062,-74.120399,411439,PUR IED CulPopu Ext e02ccb
4.6452,-74.101196,373048,AireCiudadano COBOG CSalitre1 114739
4.57,-74.089996,372910,AireCiudadano Bog CJardinSur c9dd20
4.6852,-74.066399,409285,PUR IED FaustinoS Ext 7b936f
4.593546,-74.193703,420304,SAM IE LeonXIII fb3f2c
4.5958,-74.14855,8512,"Carvajal - Sevillana, Bogota, Colombia"
4.553516,-74.138397,411622,PUR IED Montreal Exterior 91a179
4.7172,-74.054199,409276,PUR IED PradoV Exter 8b27ad
4.57559,-74.197418,418615,SAM IE ElBosque 167c9e
4.5783,-74.2342,420385,SAM IE PazyEsperanza f36757
4.637735,-74.09486,8822,"US Consulate, Bogota, Colombia"
4.70939,-74.03199,6237,"Usaquen, Bogota, Colombia"
4.6098,-74.114899,410773,PUR IED Jazmin Ext d27bda
4.5645,-74.185898,417961,SAM IE BuenosAires 306e73
4.6967,-74.092697,408331,PUR IED Palestina ext 4ccce6
4.62,-74.129997,373099,AireCiudadano Arttesano 2 6d2ec4
4.78374,-74.04417,6229,"Guaymaral, Bogota, Colombia"
4.5697,-74.127899,412069,PUR IED SanCarlos Ext b7cd1
4.6151,-74.0793,410317,PUR IED RepBoliVene Exter 27af7c
4.6219,-74.101601,409144,PUR IED LaMerced ext 304311
4.5758,-74.219398,419023,SAM IE EduardoSantos e1048e
4.6045,-74.2136,420328,SAM IE Chiloe 6eeafa
4.5722,-74.242798,420487,SAM IE NuevoCompartir fc04d7
4.63187,-74.11757,6240,"Puente Aranda, Bogota, Colombia"
4.565584,-74.093803,412504,PUR IED FranciscoMati Ext e3869d
4.57257,-74.178802,417967,SAM IE BA Oasis fbdfc4
4.5908,-74.228699,420415,SAM IE VidaNueva 79d1d2
4.5136,-74.0905,409309,PUR IED NEsperanza Ext d24b61
4.6058,-74.093803,410344,PUR IED Ricaurte Externo a0ea1
4.6889,-74.158699,409780,PUR IED AntonioVan Ext 406f2f
4.6563,-74.130699,412774,PUR IED LaFelicidad Ext fb5109
4.6455,-74.172401,412966,PUR IED Bellavista Ext f5aa74
4.68702,-74.077301,411898,PUR IED JulioFlorez Exter f9f314
4.5075,-74.117996,411472,PUR IED Atabanzha Ext cc5af9
4.5372,-74.202019,420601,SAM IE Fusunga 4d410c
4.587209,-74.073097,410770,PUR IED JorgeSoto Exterio d9d0a2
4.6336,-74.153,410179,PUR IED Isabel-II Ext 5245cc
4.613,-74.110001,373039,ABAGO BOGPARANDA PRIMAVERA ce0774
4.6181,-74.141998,411022,PUR IED OEA Ext 27b593
4.6601,-74.075104,408376,PUR IED FranciscoP ext e2313
4.5764,-74.247398,420481,SAM IE CiudadLatina 589c6
4.640496,-74.187447,372937,Bosa IED Ciudadela Porvenir 67ef78
4.5556,-74.1418,411769,PUR IED UnionE  Ext 5e2468
4.5599,-74.242798,420589,SAM IE SanNicolas 2814aa
4.578807,-74.125397,412954,PUR IED FederalAlema Exte 50c345
4.85349,-74.054893,373105,AireCiudadano COLCHIA SIMBIOT 6d4d88
4.58402,-74.186501,418591,SAM IE GabrielGarciaMarqu e966e0
4.645228,-74.06152,12502,"Movil 7ma, Bogota, Colombia"
4.65837,-74.084,6233,"Centro de Alto Rendimiento, Bogota, Colombia"
4.602,-74.102997,373078,ABAGO BOGPARANDA STAISABELOCC ce0654
4.6278,-74.1418,372940,Abago BogPAranda Mandalay 7ce9fc
4.7415,-74.084702,410827,PUR IED FilarmonicaS Ext 8a3bde
4.7016,-74.107803,408310,PUR IED NidyaQT Ext 46e32d
4.578665,-74.2118,372925,AireCiudadano COSU12M E1 6d50ac
4.571146,-74.084,411028,PUR IED ManuelitaS Exteri 656a92
4.5714,-74.120201,413257,PUR IED AlexanderF Ext c5b18b
4.6,-74.10714,373120,Abago BogPAranda TIB 2 18b77c
4.67202,-74.092644,373108,AireCiudadano Cindesus 17611c
4.728407,-74.099503,412852,PUR IED NuevaCol Exterior d9b859
4.6106,-74.223198,420406,SAM IE LaUnidad 1ce48a
4.5955,-74.187202,419050,SAM IE LaDespensa 7c0276
4.6179,-74.204201,410416,PUR IED SBernardino Ext 27aff8
4.5455,-74.084801,411448,PUR IED AltamiraSO Ext 186d66
4.6037,-74.148598,410914,PUR IED LaChucua Ext 8cd6d2
4.6406,-74.160202,416032,PUR IED ManuelZapata Ext 50824a
4.57902,-74.110802,411451,PUR IED HolguinUr Exter ddae6d
4.5808,-74.114403,415402,PUR IED ClemenciaC Ext 1b411a
4.616223,-74.112717,373024,Abago BogParanda Jazmin 167af0
4.6938,-74.098099,413680,PUR IED Tabora Ext f048ae
4.75,-74.107399,412642,PUR IED Bilbao Ext fb579a
4.5838,-74.218498,417670,SAM IE GeneralSantander edee42
4.76251,-74.09343,6239,"Suba, Bogota, Colombia"
4.5128,-74.117203,409270,PUR IED CervantesSa Ext 6b57b
4.5598,-74.0924,415597,PUR IED Josejoaquin Ext dfc5dc
4.57619,-74.13093,6235,"Tunal, Bogota, Colombia"
4.573062,-74.111702,410173,PUR IED JoseMarti Exte 5b9bf
4.666193,-74.08432,378001,Bog ModNorteDC22F dc224f
4.635,-74.172501,410371,PUR IED HernandoDuran Ext 8cd82b
4.7298,-74.023598,411745,PUR IED AgustinFer Ext 7b9b77
4.7073,-74.1036,411037,PUR IED RepChina Ext 76d9ee
4.5725,-74.0836,6236,"San Cristobal, Bogota, Colombia"
4.4973,-74.114799,411643,PUR IED DiegoM Ext d80ac8
4.5175,-74.116302,411670,PUR IED BrasiliaU Ext 8d6e9f
4.575589,-74.164829,207436,Transversal 54
4.716116,-74.0644,410068,PUR IED GustavoMo Exterio 75e63d
4.5131,-74.108398,416026,PUR IED LosTejares Ext 8e2115
4.5373,-74.142097,412567,PUR IED MinutoBAires Ext 81293f
4.5873,-74.165497,410917,PUR IED IsmaelPerd Ext 7b6672
4.5945,-74.092903,413809,PUR IED Menorah Ext 3e155b
4.6249,-74.16135,6230,"Kennedy, Bogota, Colombia"
4.565792,-74.1008,411178,PUR IED IsidroSur Exterio 5b90ea
4.547166,-74.148872,410260,PUR IED RafaelUU Exterior 281a51
